"","Year","hdi","me_normalized","Name"
"1",1990,0.572,1114,1
"2",1990,0.718,1406,2
"3",1990,0.871,1888,3
"4",1990,0.803,1393,4
"5",1990,0.749,653,5
"6",1990,0.394,843,6
"7",1990,0.813,1791,7
"8",1990,0.61,28,8
"9",1990,0.364,140,9
"10",1990,0.551,501,10
"11",1990,0.573,541,11
"12",1990,0.613,1974,12
"13",1990,0.767,642,13
"14",1990,0.708,1068,14
"15",1990,0.299,180,15
"16",1990,0.368,122,16
"17",1990,0.448,583,17
"18",1990,0.85,2048,18
"19",1990,0.706,1163,19
"20",1990,0.499,2009,20
"21",1990,0.603,1106,21
"22",1990,0.369,220,22
"23",1990,0.665,523,23
"24",1990,0.68,888,24
"25",1990,0.738,1523,25
"26",1990,0.806,130,26
"27",1990,0.599,608,27
"28",1990,0.648,1454,28
"29",1990,0.548,555,29
"30",1990,0.735,62,30
"31",1990,0.541,1065,31
"32",1990,0.662,1435,32
"33",1990,0.79,2263,33
"34",1990,0.613,21,34
"35",1990,0.808,116,35
"36",1990,0.465,1596,36
"37",1990,0.548,16,37
"38",1990,0.414,319,38
"39",1990,0.519,1097,39
"40",1990,0.708,1,40
"41",1990,0.807,2027,41
"42",1990,0.429,1310,42
"43",1990,0.523,2113,43
"44",1990,0.56,988,44
"45",1990,0.773,1910,45
"46",1990,0.801,2155,46
"47",1990,0.776,173,47
"48",1990,0.645,2201,48
"49",1990,0.818,763,49
"50",1990,0.69,664,50
"51",1990,0.711,620,51
"52",1990,0.738,407,52
"53",1990,0.797,172,53
"54",1990,0.333,1189,54
"55",1990,0.234,88,55
"56",1990,0.752,182,56
"57",1990,0.397,1235,57
"58",1990,0.457,384,58
"59",1990,0.227,1076,59
"60",1990,0.581,171,60
"61",1990,0.387,1912,61
"62",1990,0.836,1176,62
"63",1990,0.826,1193,63
"64",1990,0.22,702,64
"65",1990,0.849,1265,65
"66",1990,0.675,325,66
"67",1990,0.38,443,67
"68",1990,0.598,1063,68
"69",1990,0.613,1132,69
"70",1990,0.593,1293,70
"71",1990,0.718,1366,71
"72",1990,0.718,1066,72
"73",1990,0.75,1342,73
"74",1990,0.735,405,74
"75",1990,0.452,2109,75
"76",1990,0.697,457,76
"77",1990,0.722,68,77
"78",1990,0.287,1355,78
"79",1990,0.774,1756,79
"80",1990,0.627,2011,80
"81",1990,0.761,588,81
"82",1990,0.629,1205,82
"83",1990,0.821,1719,83
"84",1990,0.84,1320,84
"85",1990,0.617,393,85
"86",1990,0.368,1445,86
"87",1990,0.668,668,87
"88",1990,0.567,1841,88
"89",1990,0.723,2247,89
"90",1990,0.781,2358,90
"91",1990,0.865,775,91
"92",1990,0.644,941,92
"93",1990,0.483,1071,93
"94",1990,0.401,509,94
"95",1990,0.421,895,95
"96",1991,0.631,968,1
"97",1991,0.648,1898,3
"98",1991,0.871,1397,4
"99",1991,0.755,851,6
"100",1991,0.817,27,8
"101",1991,0.579,1887,12
"102",1991,0.621,662,13
"103",1991,0.771,643,14
"104",1991,0.372,580,17
"105",1991,0.445,2046,18
"106",1991,0.715,2003,20
